id,actual_response,actual_type,actual_activity,is_correct_prediction
22,Y,reminder,meal planning,True
23,N,suggestion,healthy eating,True
24,Y,reminder,meal planning,True
25,Y,praise,water intake,True
26,Y,reward,meal planning,True
27,Y,praise,water intake,True
28,N,suggestion,portion control,True
29,Y,reminder,meal planning,True
30,Y,suggestion,meal planning,True
31,Y,praise,water intake,True
32,Y,reward,meal planning,True
33,Y,reward,meal planning,True
34,Y,suggestion,meal planning,True
35,N,suggestion,healthy eating,True
36,N,reward,healthy eating,True
37,Y,reward,meal planning,True
38,Y,praise,water intake,True
39,N,reward,healthy eating,True
40,Y,reward,meal planning,True
41,Y,reward,meal planning,True
42,Y,reminder,meal planning,True
43,Y,reward,meal planning,True
44,N,reward,healthy eating,True
45,Y,reminder,meal planning,True
46,Y,reward,meal planning,True
47,Y,reminder,meal planning,True
48,Y,praise,meal planning,True
49,Y,praise,meal planning,True
50,Y,reminder,meal planning,True
51,Y,praise,water intake,True
52,Y,praise,water intake,True
53,Y,praise,meal planning,True
54,Y,reminder,meal planning,True
55,N,reminder,portion control,True
56,Y,praise,meal planning,True
57,Y,praise,water intake,True
58,Y,reward,meal planning,True
59,Y,reward,meal planning,True
60,Y,praise,meal planning,True
61,Y,praise,water intake,True
62,Y,reminder,meal planning,True
63,Y,reward,meal planning,True
64,Y,reminder,water intake,True
65,Y,reward,meal planning,True
66,Y,reminder,meal planning,True
67,Y,reward,meal planning,True
68,Y,praise,water intake,True
69,N,reminder,healthy eating,True
70,N,reward,portion control,True
71,Y,praise,meal planning,True
72,Y,praise,water intake,True
73,Y,praise,meal planning,True
74,Y,praise,water intake,True
75,Y,reward,meal planning,True
76,Y,reminder,meal planning,True
77,Y,reminder,meal planning,True
78,Y,praise,meal planning,True
79,Y,reminder,meal planning,True
80,Y,praise,meal planning,True
81,Y,praise,water intake,True
82,Y,reminder,meal planning,True
83,N,suggestion,healthy eating,True
84,Y,reminder,water intake,True
85,Y,praise,water intake,True
86,Y,reminder,meal planning,True
87,N,reminder,healthy eating,True
88,Y,praise,meal planning,True
89,Y,praise,water intake,True
90,Y,reminder,meal planning,True
91,N,suggestion,healthy eating,True
92,Y,praise,water intake,True
93,Y,reminder,meal planning,True
94,Y,reward,meal planning,True
95,Y,reminder,meal planning,True
96,Y,praise,meal planning,True
97,N,praise,healthy eating,True
98,Y,reminder,meal planning,True
99,Y,reminder,meal planning,True
100,Y,reward,meal planning,True
101,Y,reminder,meal planning,True
102,Y,praise,water intake,True
103,Y,reminder,meal planning,True
104,Y,reminder,meal planning,True
105,Y,praise,meal planning,True
106,Y,reward,meal planning,True
107,Y,reward,meal planning,True
108,Y,reward,meal planning,True
109,Y,reward,meal planning,True
110,Y,praise,water intake,True
111,Y,reminder,meal planning,True
112,Y,reward,meal planning,True
113,Y,reward,meal planning,True
114,Y,reminder,meal planning,True
115,Y,reminder,meal planning,True
116,Y,praise,water intake,True
117,Y,praise,meal planning,True
118,N,reminder,portion control,True
119,Y,praise,water intake,True
120,Y,praise,water intake,True
121,Y,reward,meal planning,True
122,Y,reward,meal planning,True
123,Y,reward,meal planning,True
124,N,suggestion,portion control,True
125,Y,praise,meal planning,True
126,Y,praise,water intake,True
127,Y,reward,meal planning,True
128,Y,reminder,meal planning,True
129,Y,praise,water intake,True
130,Y,praise,meal planning,True
131,Y,suggestion,water intake,True
132,Y,praise,water intake,True
133,Y,reward,meal planning,True
134,Y,reminder,meal planning,True
135,Y,praise,water intake,True
136,Y,reward,meal planning,True
137,Y,praise,meal planning,True
138,Y,reminder,meal planning,True
139,Y,reward,meal planning,True
140,Y,praise,water intake,True
141,Y,praise,meal planning,True
142,Y,praise,water intake,True
143,Y,reminder,meal planning,True
144,Y,reminder,meal planning,True
145,Y,reward,meal planning,True
146,Y,reminder,water intake,True
147,Y,reminder,meal planning,True
148,Y,reminder,meal planning,True
149,Y,praise,meal planning,True
150,Y,praise,meal planning,True
151,Y,reminder,meal planning,True
152,Y,praise,meal planning,True
153,Y,praise,meal planning,True
154,Y,reward,meal planning,True
155,Y,praise,meal planning,True
156,Y,praise,water intake,True
157,Y,reminder,meal planning,True
158,Y,praise,water intake,True
159,Y,reminder,meal planning,True
160,Y,reminder,meal planning,True
161,Y,praise,water intake,True
162,Y,reward,meal planning,True
163,Y,reward,meal planning,True
164,Y,reward,meal planning,True
165,Y,praise,meal planning,True
166,Y,praise,water intake,True
167,Y,reminder,meal planning,True
168,Y,praise,meal planning,True
169,Y,praise,water intake,True
170,Y,reminder,meal planning,True
171,Y,reward,meal planning,True
172,Y,reminder,meal planning,True
173,Y,praise,meal planning,True
174,N,reward,portion control,True
175,Y,reminder,meal planning,True
176,Y,reminder,meal planning,True
177,Y,praise,meal planning,True
178,Y,reward,meal planning,True
179,Y,praise,water intake,True
180,Y,reminder,meal planning,True
181,Y,reminder,meal planning,True
182,Y,praise,meal planning,True
183,Y,praise,meal planning,True
184,Y,reminder,meal planning,True
185,Y,praise,meal planning,True
186,Y,reminder,meal planning,True
187,Y,reminder,water intake,True
188,Y,reward,meal planning,True
189,Y,praise,meal planning,True
190,Y,praise,meal planning,True
191,Y,reminder,meal planning,True
192,Y,praise,water intake,True
193,Y,praise,water intake,True
194,Y,reward,meal planning,True
195,Y,praise,meal planning,True
196,Y,praise,meal planning,True
197,Y,praise,water intake,True
198,Y,reminder,meal planning,True
199,Y,praise,meal planning,True
200,Y,praise,meal planning,True
201,Y,praise,water intake,True
202,Y,praise,meal planning,True
203,Y,praise,water intake,True
204,Y,reward,meal planning,True
205,Y,reward,meal planning,True
206,Y,praise,meal planning,True
207,N,suggestion,healthy eating,True
208,Y,praise,meal planning,True
209,N,reward,portion control,True
210,Y,praise,water intake,True
211,Y,reminder,meal planning,True
212,Y,reminder,meal planning,True
213,Y,praise,meal planning,True
214,Y,praise,meal planning,True
215,Y,reward,meal planning,True
216,Y,praise,water intake,True
217,Y,reward,meal planning,True
218,Y,praise,water intake,True
219,N,reward,healthy eating,True
220,Y,praise,meal planning,True
221,Y,reward,meal planning,True
222,Y,praise,water intake,True
223,Y,reminder,meal planning,True
224,Y,reminder,meal planning,True
225,N,reward,portion control,True
226,Y,reward,meal planning,True
227,Y,praise,meal planning,True
228,Y,praise,meal planning,True
229,Y,praise,water intake,True
230,N,praise,healthy eating,True
231,Y,praise,meal planning,True
232,Y,reminder,meal planning,True
233,Y,reminder,meal planning,True
234,Y,reward,meal planning,True
235,Y,reward,meal planning,True
236,Y,reminder,meal planning,True
237,Y,praise,meal planning,True
238,Y,praise,water intake,True
239,Y,reminder,meal planning,True
240,Y,reminder,meal planning,True
241,Y,reminder,meal planning,True
242,Y,praise,meal planning,True
243,Y,praise,meal planning,True
244,Y,reminder,meal planning,True
245,Y,reminder,meal planning,True
246,Y,reward,meal planning,True
247,Y,reminder,meal planning,True
248,Y,praise,meal planning,True
249,Y,reward,meal planning,True
250,Y,praise,water intake,True
251,Y,reminder,meal planning,True
252,Y,reminder,meal planning,True
253,Y,reminder,meal planning,True
254,Y,praise,meal planning,True
255,Y,reward,meal planning,True
256,Y,reward,meal planning,True
257,Y,reward,meal planning,True
258,Y,reminder,meal planning,True
259,Y,reward,meal planning,True
260,Y,praise,water intake,True
261,Y,praise,water intake,True
262,Y,reward,meal planning,True
263,Y,praise,meal planning,True
264,Y,reminder,meal planning,True
265,Y,praise,water intake,True
266,Y,praise,meal planning,True
267,Y,praise,water intake,True
268,Y,praise,water intake,True
269,Y,praise,meal planning,True
270,Y,reward,meal planning,True
271,Y,praise,meal planning,True
272,Y,praise,water intake,True
273,Y,reward,meal planning,True
274,Y,praise,water intake,True
275,Y,praise,water intake,True
276,Y,praise,water intake,True
277,Y,praise,water intake,True
278,Y,praise,water intake,True
279,Y,reminder,meal planning,True
280,Y,reward,meal planning,True
281,Y,reminder,meal planning,True
282,Y,praise,water intake,True
283,Y,praise,meal planning,True
284,Y,praise,water intake,True
285,Y,reminder,meal planning,True
286,Y,reminder,meal planning,True
287,Y,reminder,meal planning,True
288,Y,reward,meal planning,True
289,Y,praise,water intake,True
290,Y,praise,meal planning,True
291,Y,reward,meal planning,True
292,Y,reward,meal planning,True
293,Y,praise,water intake,True
294,Y,reminder,meal planning,True
295,Y,reminder,meal planning,True
296,Y,reward,meal planning,True
297,Y,praise,meal planning,True
298,Y,praise,meal planning,True
299,Y,reminder,meal planning,True
300,Y,praise,water intake,True
301,Y,reward,meal planning,True
302,Y,reminder,meal planning,True
303,Y,praise,meal planning,True
304,Y,praise,meal planning,True
305,Y,reminder,meal planning,True
306,Y,praise,water intake,True
307,Y,reward,meal planning,True
308,Y,reminder,meal planning,True
309,Y,reminder,meal planning,True
310,Y,praise,meal planning,True
311,Y,praise,water intake,True
312,Y,reward,meal planning,True
313,Y,reminder,meal planning,True
314,Y,praise,meal planning,True
315,Y,reminder,meal planning,True
316,Y,reminder,meal planning,True
317,Y,reminder,meal planning,True
318,Y,reward,meal planning,True
319,Y,reminder,meal planning,True
320,Y,reminder,meal planning,True
321,Y,reward,meal planning,True
322,Y,praise,water intake,True
323,Y,praise,water intake,True
324,N,reminder,healthy eating,True
325,N,reminder,portion control,True
326,Y,reminder,meal planning,True
327,Y,reminder,meal planning,True
328,Y,praise,meal planning,True
329,Y,praise,meal planning,True
330,Y,reminder,meal planning,True
331,Y,reward,meal planning,True
332,Y,praise,water intake,True
333,Y,praise,water intake,True
334,Y,praise,water intake,True
335,Y,praise,water intake,True
336,Y,praise,water intake,True
337,Y,reward,meal planning,True
338,Y,reward,meal planning,True
339,Y,praise,water intake,True
340,Y,reward,meal planning,True
341,Y,reminder,meal planning,True
342,Y,praise,meal planning,True
343,Y,praise,water intake,True
344,Y,praise,meal planning,True
345,Y,reminder,meal planning,True
346,Y,reminder,meal planning,True
347,Y,praise,water intake,True
348,Y,praise,meal planning,True
349,Y,praise,water intake,True
350,Y,reminder,meal planning,True
351,Y,reminder,meal planning,True
352,Y,reward,meal planning,True
353,Y,reward,meal planning,True
354,Y,praise,water intake,True
355,Y,praise,meal planning,True
356,Y,reward,meal planning,True
357,Y,reminder,meal planning,True
358,Y,reward,meal planning,True
359,Y,praise,meal planning,True
360,Y,praise,water intake,True
361,Y,praise,meal planning,True
362,Y,reward,meal planning,True
363,Y,praise,water intake,True
364,Y,praise,meal planning,True
365,Y,reminder,meal planning,True
366,Y,reward,meal planning,True
367,Y,praise,water intake,True
368,Y,reward,meal planning,True
369,Y,reward,meal planning,True
370,Y,reward,meal planning,True
371,Y,praise,meal planning,True
372,Y,reminder,meal planning,True
373,Y,reminder,meal planning,True
374,Y,reminder,meal planning,True
375,Y,praise,water intake,True
376,Y,reminder,meal planning,True
377,Y,reward,meal planning,True
378,Y,praise,meal planning,True
379,Y,reward,meal planning,True
380,Y,praise,water intake,True
381,Y,reward,meal planning,True
382,Y,praise,water intake,True
383,Y,praise,meal planning,True
384,Y,reminder,meal planning,True
385,Y,reward,meal planning,True
386,Y,reward,meal planning,True
387,Y,reminder,meal planning,True
388,Y,reward,meal planning,True
389,Y,reminder,meal planning,True
390,Y,reward,meal planning,True
391,Y,reward,meal planning,True
392,Y,praise,water intake,True
393,Y,reminder,meal planning,True
394,Y,reminder,meal planning,True
395,Y,reward,meal planning,True
396,Y,reward,meal planning,True
397,Y,reward,meal planning,True
398,Y,praise,meal planning,True
399,Y,reward,meal planning,True
400,Y,reward,meal planning,True
401,Y,reminder,meal planning,True
402,Y,praise,meal planning,True
403,Y,praise,water intake,True
404,Y,praise,meal planning,True
405,N,praise,healthy eating,True
406,Y,reminder,meal planning,True
407,Y,reminder,meal planning,True
408,Y,praise,water intake,True
409,Y,praise,meal planning,True
410,Y,praise,water intake,True
411,Y,praise,water intake,True
412,Y,reminder,meal planning,True
413,Y,praise,meal planning,True
414,Y,praise,meal planning,True
415,Y,praise,water intake,True
416,Y,reward,meal planning,True
417,Y,reminder,meal planning,True
418,Y,praise,meal planning,True
419,Y,reward,meal planning,True
420,Y,reward,meal planning,True
421,Y,praise,meal planning,True
422,Y,reward,meal planning,True
423,Y,reminder,meal planning,True
424,Y,praise,meal planning,True
425,Y,reward,meal planning,True
426,Y,reward,meal planning,True
427,Y,reminder,meal planning,True
428,Y,reminder,meal planning,True
429,Y,praise,meal planning,True
430,Y,praise,water intake,True
431,Y,reward,meal planning,True
432,Y,praise,meal planning,True
433,Y,reminder,meal planning,True
434,Y,reminder,meal planning,True
435,Y,praise,meal planning,True
436,Y,praise,meal planning,True
437,Y,praise,meal planning,True
438,Y,praise,meal planning,True
439,Y,praise,water intake,True
440,Y,reward,meal planning,True
441,Y,reminder,meal planning,True
442,Y,reminder,meal planning,True
443,Y,praise,water intake,True
444,Y,praise,water intake,True
445,Y,praise,meal planning,True
446,Y,praise,water intake,True
447,Y,praise,meal planning,True
448,Y,praise,water intake,True
449,Y,reminder,meal planning,True
450,Y,praise,meal planning,True
451,Y,praise,meal planning,True
452,Y,reward,meal planning,True
453,Y,praise,water intake,True
454,Y,praise,water intake,True
455,Y,praise,water intake,True
456,Y,reminder,meal planning,True
457,Y,reminder,meal planning,True
458,Y,reward,meal planning,True
459,Y,praise,meal planning,True
460,Y,praise,meal planning,True
461,Y,reminder,meal planning,True
462,Y,praise,meal planning,True
463,Y,praise,water intake,True
464,Y,praise,water intake,True
465,Y,praise,meal planning,True
466,Y,reward,meal planning,True
467,Y,praise,water intake,True
468,Y,reward,meal planning,True
469,Y,reminder,meal planning,True
470,Y,reminder,meal planning,True
471,Y,praise,water intake,True
472,Y,praise,meal planning,True
473,Y,reminder,meal planning,True
474,Y,praise,meal planning,True
475,Y,praise,water intake,True
476,Y,praise,meal planning,True
477,Y,praise,water intake,True
478,Y,praise,water intake,True
479,Y,reward,meal planning,True
480,Y,praise,meal planning,True
481,Y,praise,water intake,True
482,Y,praise,meal planning,True
483,Y,praise,water intake,True
484,Y,praise,water intake,True
485,Y,praise,meal planning,True
486,Y,reward,meal planning,True
487,Y,praise,meal planning,True
488,Y,reminder,meal planning,True
489,Y,reward,meal planning,True
490,Y,reminder,meal planning,True
491,Y,praise,meal planning,True
492,Y,reminder,meal planning,True
493,Y,reminder,meal planning,True
494,Y,reminder,meal planning,True
495,Y,praise,water intake,True
496,Y,reward,meal planning,True
497,Y,reminder,meal planning,True
498,Y,praise,water intake,True
499,Y,praise,meal planning,True
500,Y,reminder,meal planning,True
501,Y,reward,meal planning,True
502,Y,praise,water intake,True
503,Y,reminder,meal planning,True
504,Y,praise,water intake,True
505,Y,reminder,meal planning,True
506,Y,praise,water intake,True
507,Y,praise,meal planning,True
508,Y,praise,meal planning,True
509,Y,reward,meal planning,True
510,Y,reminder,meal planning,True
511,Y,reminder,meal planning,True
512,Y,praise,meal planning,True
513,Y,reward,meal planning,True
514,Y,reminder,meal planning,True
515,Y,reward,meal planning,True
516,Y,praise,meal planning,True
517,Y,reward,meal planning,True
518,Y,praise,meal planning,True
519,Y,praise,water intake,True
520,Y,reminder,meal planning,True
521,Y,praise,meal planning,True
522,Y,praise,meal planning,True
523,Y,reminder,meal planning,True
524,Y,praise,meal planning,True
525,Y,praise,meal planning,True
526,Y,reward,meal planning,True
527,Y,reminder,meal planning,True
528,Y,praise,water intake,True
529,Y,reward,meal planning,True
530,Y,reminder,meal planning,True
531,Y,praise,meal planning,True
532,Y,praise,meal planning,True
533,Y,praise,water intake,True
534,Y,reminder,meal planning,True
535,Y,reward,meal planning,True
536,Y,reminder,meal planning,True
537,Y,praise,meal planning,True
538,Y,reward,meal planning,True
539,Y,praise,water intake,True
540,Y,reward,meal planning,True
541,Y,praise,water intake,True
542,Y,reminder,meal planning,True
543,Y,praise,meal planning,True
544,Y,reward,meal planning,True
545,Y,reminder,meal planning,True
546,Y,praise,meal planning,True
547,Y,reward,meal planning,True
548,Y,praise,water intake,True
549,Y,praise,water intake,True
550,Y,reminder,meal planning,True
551,Y,reminder,meal planning,True
552,Y,praise,water intake,True
553,Y,praise,meal planning,True
554,Y,praise,meal planning,True
555,Y,reminder,meal planning,True
556,Y,praise,meal planning,True
557,Y,reward,meal planning,True
558,Y,praise,meal planning,True
559,Y,praise,water intake,True
560,Y,praise,water intake,True
561,Y,praise,water intake,True
562,Y,reminder,meal planning,True
563,Y,reward,meal planning,True
564,Y,praise,water intake,True
565,Y,praise,meal planning,True
566,Y,praise,meal planning,True
567,Y,reminder,meal planning,True
568,Y,reward,meal planning,True
569,Y,praise,meal planning,True
570,Y,praise,meal planning,True
571,Y,reminder,meal planning,True
572,Y,praise,water intake,True
573,Y,reward,meal planning,True
574,Y,reminder,meal planning,True
575,Y,reward,meal planning,True
576,Y,praise,meal planning,True
577,Y,reminder,meal planning,True
578,Y,praise,water intake,True
579,Y,reward,meal planning,True
580,Y,praise,water intake,True
581,N,praise,portion control,True
582,Y,reminder,meal planning,True
583,Y,reminder,meal planning,True
584,Y,reminder,meal planning,True
585,Y,reminder,meal planning,True
586,Y,reward,meal planning,True
587,Y,praise,water intake,True
588,Y,reward,meal planning,True
589,Y,reward,meal planning,True
590,Y,reminder,meal planning,True
591,Y,reminder,meal planning,True
592,Y,praise,water intake,True
593,Y,praise,water intake,True
594,Y,reminder,meal planning,True
595,Y,praise,water intake,True
596,Y,praise,water intake,True
597,Y,reminder,meal planning,True
598,Y,praise,meal planning,True
599,Y,praise,meal planning,True
600,Y,reward,meal planning,True
601,Y,reward,meal planning,True
602,Y,praise,meal planning,True
603,Y,reminder,meal planning,True
604,Y,praise,meal planning,True
605,Y,reward,meal planning,True
606,Y,reminder,meal planning,True
607,Y,praise,water intake,True
608,Y,reward,meal planning,True
609,Y,praise,water intake,True
610,Y,reminder,meal planning,True
611,Y,reminder,meal planning,True
612,Y,reward,meal planning,True
613,Y,praise,meal planning,True
614,Y,praise,meal planning,True
615,Y,reminder,meal planning,True
616,Y,praise,meal planning,True
617,Y,reminder,meal planning,True
618,Y,praise,meal planning,True
619,Y,reminder,meal planning,True
620,Y,praise,water intake,True
621,Y,reminder,meal planning,True
622,Y,reward,meal planning,True
623,Y,reward,meal planning,True
624,Y,reminder,meal planning,True
625,Y,reminder,meal planning,True
626,Y,praise,meal planning,True
627,Y,praise,meal planning,True
628,Y,reminder,meal planning,True
629,Y,reward,meal planning,True
630,Y,praise,water intake,True
631,Y,reminder,meal planning,True
632,Y,praise,water intake,True
633,Y,reminder,meal planning,True
634,Y,praise,water intake,True
635,Y,praise,meal planning,True
636,Y,praise,water intake,True
637,Y,reward,meal planning,True
638,Y,reward,meal planning,True
639,Y,praise,water intake,True
640,Y,reward,meal planning,True
641,Y,reward,meal planning,True
642,Y,reward,meal planning,True
643,Y,praise,water intake,True
644,Y,praise,meal planning,True
645,Y,reward,meal planning,True
646,Y,praise,meal planning,True
647,Y,reward,meal planning,True
648,Y,reminder,meal planning,True
649,Y,praise,water intake,True
650,Y,reward,meal planning,True
651,Y,reward,meal planning,True
652,Y,reward,meal planning,True
653,Y,praise,meal planning,True
654,Y,reward,meal planning,True
655,Y,reminder,meal planning,True
656,Y,reminder,meal planning,True
657,Y,praise,water intake,True
658,Y,praise,water intake,True
659,Y,reminder,meal planning,True
660,Y,praise,meal planning,True
661,Y,reward,meal planning,True
662,Y,reward,meal planning,True
663,Y,reminder,meal planning,True
664,Y,reward,meal planning,True
665,Y,praise,meal planning,True
666,Y,reminder,meal planning,True
667,Y,reward,meal planning,True
668,Y,reminder,meal planning,True
669,Y,praise,water intake,True
670,Y,reminder,meal planning,True
671,Y,praise,meal planning,True
672,Y,reward,meal planning,True
673,Y,praise,water intake,True
674,Y,praise,water intake,True
675,Y,reminder,meal planning,True
676,Y,reminder,meal planning,True
677,Y,reminder,meal planning,True
678,Y,praise,water intake,True
679,Y,reward,meal planning,True
680,Y,reminder,meal planning,True
681,Y,praise,meal planning,True
682,Y,reward,meal planning,True
683,Y,praise,water intake,True
684,Y,praise,water intake,True
685,Y,reminder,meal planning,True
686,Y,reminder,meal planning,True
687,Y,praise,meal planning,True
688,Y,praise,meal planning,True
689,Y,reward,meal planning,True
690,Y,reminder,meal planning,True
691,Y,praise,water intake,True
692,Y,praise,meal planning,True
693,Y,praise,meal planning,True
694,Y,praise,meal planning,True
695,Y,praise,meal planning,True
696,Y,reward,meal planning,True
697,Y,praise,meal planning,True
698,Y,praise,meal planning,True
699,Y,reward,meal planning,True
700,Y,reward,meal planning,True
701,Y,reward,meal planning,True
702,Y,praise,water intake,True
703,Y,reward,meal planning,True
704,Y,praise,water intake,True
705,Y,reminder,meal planning,True
706,Y,praise,meal planning,True
707,Y,praise,water intake,True
708,Y,reward,meal planning,True
709,Y,praise,water intake,True
710,Y,praise,water intake,True
711,Y,reminder,meal planning,True
712,Y,reminder,meal planning,True
713,Y,praise,water intake,True
714,Y,praise,meal planning,True
715,Y,reminder,meal planning,True
716,Y,praise,water intake,True
717,Y,praise,water intake,True
718,Y,praise,meal planning,True
719,Y,reward,meal planning,True
720,Y,praise,water intake,True
721,Y,praise,meal planning,True
722,Y,praise,meal planning,True
723,Y,reward,meal planning,True
724,Y,reminder,meal planning,True
725,Y,praise,meal planning,True
726,Y,reminder,meal planning,True
727,Y,reminder,meal planning,True
728,Y,reminder,meal planning,True
729,Y,reminder,meal planning,True
730,Y,reward,meal planning,True
731,Y,reward,meal planning,True
732,Y,reward,meal planning,True
733,Y,praise,water intake,True
734,Y,praise,water intake,True
735,Y,praise,meal planning,True
736,Y,reminder,meal planning,True
737,Y,praise,water intake,True
738,Y,praise,water intake,True
739,Y,praise,water intake,True
740,Y,reminder,meal planning,True
741,Y,reminder,meal planning,True
742,Y,praise,water intake,True
743,Y,praise,water intake,True
744,Y,praise,water intake,True
745,Y,praise,meal planning,True
746,Y,reminder,meal planning,True
747,Y,praise,meal planning,True
748,Y,praise,meal planning,True
749,Y,reminder,meal planning,True
750,Y,praise,water intake,True
751,Y,reward,meal planning,True
752,Y,praise,water intake,True
753,Y,reminder,meal planning,True
754,Y,reminder,meal planning,True
755,Y,reward,meal planning,True
756,Y,praise,water intake,True
757,Y,reward,meal planning,True
758,Y,reminder,meal planning,True
759,Y,praise,meal planning,True
760,Y,reward,meal planning,True
761,Y,reward,meal planning,True
762,Y,reward,meal planning,True
763,Y,reminder,meal planning,True
764,Y,reward,meal planning,True
765,Y,reward,meal planning,True
766,Y,reminder,meal planning,True
767,Y,reminder,meal planning,True
768,Y,praise,water intake,True
769,Y,reminder,meal planning,True
770,Y,reminder,meal planning,True
771,Y,praise,meal planning,True
772,Y,reward,meal planning,True
773,Y,reminder,meal planning,True
774,Y,praise,water intake,True
775,Y,praise,meal planning,True
776,Y,praise,water intake,True
777,Y,reward,meal planning,True
778,Y,praise,water intake,True
779,Y,praise,meal planning,True
780,Y,reminder,meal planning,True
781,Y,reminder,meal planning,True
782,Y,reward,meal planning,True
783,Y,praise,water intake,True
784,Y,reminder,meal planning,True
785,Y,reminder,meal planning,True
786,Y,reminder,meal planning,True
787,Y,praise,meal planning,True
788,Y,reward,meal planning,True
789,Y,reward,meal planning,True
790,Y,praise,meal planning,True
791,Y,praise,meal planning,True
792,Y,praise,water intake,True
793,Y,reward,meal planning,True
794,Y,praise,water intake,True
795,Y,praise,meal planning,True
796,Y,reminder,meal planning,True
797,Y,reminder,meal planning,True
798,Y,reminder,meal planning,True
799,Y,praise,meal planning,True
800,Y,praise,meal planning,True
801,Y,reward,meal planning,True
802,Y,praise,water intake,True
803,Y,praise,water intake,True
804,Y,praise,meal planning,True
805,Y,reward,meal planning,True
806,Y,reminder,meal planning,True
807,Y,reward,meal planning,True
808,Y,reward,meal planning,True
809,Y,praise,water intake,True
810,Y,praise,water intake,True
811,Y,reminder,meal planning,True
812,Y,reward,meal planning,True
813,Y,reminder,meal planning,True
814,Y,praise,water intake,True
815,Y,reminder,meal planning,True
816,Y,praise,water intake,True
817,Y,reminder,meal planning,True
818,Y,reward,meal planning,True
819,Y,reward,meal planning,True
820,Y,praise,meal planning,True
821,Y,reward,meal planning,True
822,Y,praise,meal planning,True
823,Y,reminder,meal planning,True
824,Y,reminder,meal planning,True
825,Y,praise,water intake,True
826,Y,reward,meal planning,True
827,Y,praise,water intake,True
828,Y,praise,meal planning,True
829,Y,praise,water intake,True
830,Y,praise,water intake,True
831,Y,praise,meal planning,True
832,Y,reward,meal planning,True
833,Y,praise,water intake,True
834,Y,reward,meal planning,True
835,Y,reminder,meal planning,True
836,Y,praise,meal planning,True
837,Y,praise,meal planning,True
838,Y,reward,meal planning,True
839,Y,praise,meal planning,True
840,Y,reminder,meal planning,True
841,Y,praise,meal planning,True
842,Y,praise,meal planning,True
843,Y,praise,water intake,True
844,Y,reward,meal planning,True
845,Y,reward,meal planning,True
846,Y,reminder,meal planning,True
847,Y,reward,meal planning,True
848,Y,praise,water intake,True
849,Y,reminder,meal planning,True
850,Y,reward,meal planning,True
851,Y,reward,meal planning,True
852,Y,praise,meal planning,True
853,Y,reminder,meal planning,True
854,Y,reminder,meal planning,True
855,Y,praise,water intake,True
856,Y,praise,water intake,True
857,Y,reminder,meal planning,True
858,Y,praise,water intake,True
859,Y,praise,meal planning,True
860,Y,reward,meal planning,True
861,Y,reward,meal planning,True
862,Y,reward,meal planning,True
863,Y,reward,meal planning,True
864,Y,praise,water intake,True
865,Y,reward,meal planning,True
866,Y,praise,meal planning,True
867,Y,praise,water intake,True
868,Y,reward,meal planning,True
869,Y,praise,water intake,True
870,Y,praise,meal planning,True
871,Y,praise,meal planning,True
872,Y,praise,meal planning,True
